ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,DATE
-0.01,0.05,1.00,0.14,-1.82,0.63,1000,2000,3000,08/10/2022 12:16:50
-0.01,0.04,1.00,0.14,-1.82,0.63,1000,2000,3000,08/10/2022 12:16:50
-0.01,0.05,1.00,0.14,-1.96,0.56,1000,2000,3000,08/10/2022 12:16:51
-0.01,0.05,1.01,0.07,-1.96,0.56,1000,2000,3000,08/10/2022 12:16:51
-0.01,0.04,1.00,0.14,-1.89,0.56,1000,2000,3000,08/10/2022 12:16:51
-0.01,0.05,1.01,0.14,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:51
-0.01,0.05,1.00,0.21,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:52
-0.01,0.04,1.00,0.07,-1.82,0.70,1000,2000,3000,08/10/2022 12:16:52
-0.01,0.04,1.01,0.14,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:52
-0.01,0.04,1.00,0.14,-1.96,0.56,1000,2000,3000,08/10/2022 12:16:52
-0.01,0.05,1.00,0.21,-1.89,0.70,1000,2000,3000,08/10/2022 12:16:52
-0.01,0.05,1.00,0.07,-1.96,0.56,1000,2000,3000,08/10/2022 12:16:53
-0.01,0.05,1.01,-0.28,-1.82,0.63,1000,2000,3000,08/10/2022 12:16:53
-0.01,0.05,1.00,0.35,-1.96,0.56,1000,2000,3000,08/10/2022 12:16:53
-0.01,0.04,1.00,0.28,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:53
-0.01,0.04,1.00,0.14,-1.82,0.56,1000,2000,3000,08/10/2022 12:16:53
-0.01,0.04,1.00,0.49,-1.96,0.70,1000,2000,3000,08/10/2022 12:16:54
-0.01,0.04,1.01,0.07,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:54
-0.01,0.04,1.00,0.07,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:54
-0.01,0.04,1.00,0.21,-1.96,0.56,1000,2000,3000,08/10/2022 12:16:54
-0.01,0.04,1.00,0.21,-1.89,0.70,1000,2000,3000,08/10/2022 12:16:55
-0.01,0.04,1.00,0.14,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:55
-0.01,0.04,1.00,0.21,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:55
-0.01,0.05,1.00,0.21,-1.96,0.63,1000,2000,3000,08/10/2022 12:16:55
-0.01,0.04,1.00,0.14,-1.96,0.63,1000,2000,3000,08/10/2022 12:16:55
-0.01,0.04,1.00,0.14,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:55
-0.01,0.05,1.00,0.21,-1.96,0.49,1000,2000,3000,08/10/2022 12:16:56
-0.01,0.04,1.00,0.14,-1.96,0.56,1000,2000,3000,08/10/2022 12:16:56
-0.01,0.04,1.00,0.14,-1.82,0.70,1000,2000,3000,08/10/2022 12:16:56
-0.01,0.04,1.00,0.21,-2.03,0.63,1000,2000,3000,08/10/2022 12:16:56
-0.01,0.04,1.01,0.14,-1.82,0.56,1000,2000,3000,08/10/2022 12:16:56
-0.01,0.04,1.01,0.07,-1.82,0.63,1000,2000,3000,08/10/2022 12:16:57
-0.01,0.04,1.00,0.00,-1.82,0.63,1000,2000,3000,08/10/2022 12:16:57
-0.01,0.04,1.00,-0.07,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:57
-0.01,0.04,1.00,0.35,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:57
-0.01,0.04,1.00,0.28,-2.03,0.56,1000,2000,3000,08/10/2022 12:16:58
-0.01,0.04,1.00,0.21,-1.89,0.56,1000,2000,3000,08/10/2022 12:16:58
-0.01,0.04,1.00,0.14,-1.89,0.63,1000,2000,3000,08/10/2022 12:16:58
-0.01,0.04,1.00,0.14,-1.89,0.56,1000,2000,3000,08/10/2022 12:16:58
